I, [2017-03-02T17:16:07.589491 #6076]  INFO -- Kitchen: -----> Starting Kitchen (v1.15.0)
E, [2017-03-02T17:16:07.589766 #6076] ERROR -- Kitchen: ------Exception-------
E, [2017-03-02T17:16:07.589796 #6076] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-03-02T17:16:07.589812 #6076] ERROR -- Kitchen: Message: Kitchen YAML file /appl/chef-repo-training/.kitchen.yml does not exist.
E, [2017-03-02T17:16:07.589825 #6076] ERROR -- Kitchen: ----------------------
E, [2017-03-02T17:16:07.589837 #6076] ERROR -- Kitchen: ------Backtrace-------
E, [2017-03-02T17:16:07.589848 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-03-02T17:16:07.589868 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:152:in `data'
E, [2017-03-02T17:16:07.589880 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-03-02T17:16:07.589892 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-03-02T17:16:07.589903 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-03-02T17:16:07.589915 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-03-02T17:16:07.589927 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-03-02T17:16:07.589939 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-03-02T17:16:07.589951 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-03-02T17:16:07.589963 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-03-02T17:16:07.589986 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-03-02T17:16:07.590020 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-03-02T17:16:07.590033 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-03-02T17:16:07.590045 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-03-02T17:16:07.590057 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-03-02T17:16:07.590068 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-03-02T17:16:07.590080 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-03-02T17:16:07.590092 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-03-02T17:16:07.590103 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-03-02T17:16:07.590115 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-03-02T17:16:07.590126 #6076] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `<top (required)>'
E, [2017-03-02T17:16:07.590137 #6076] ERROR -- Kitchen: /usr/bin/kitchen:21:in `load'
E, [2017-03-02T17:16:07.590148 #6076] ERROR -- Kitchen: /usr/bin/kitchen:21:in `<main>'
E, [2017-03-02T17:16:07.590166 #6076] ERROR -- Kitchen: ----End Backtrace-----
